Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S29812953,Turkey Vulture,Cathartes aura,2362,2,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,05-21-2016,09:30 AM,eBird - Stationary Count,60,1,,,1,,,clear cool morning after days of rain
S31815985,Turkey Vulture,Cathartes aura,2362,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,09-29-2016,09:00 AM,eBird - Stationary Count,30,1,,,1,,,clear cool morning
S32151770,Turkey Vulture,Cathartes aura,2362,2,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,10-22-2016,10:00 AM,eBird - Stationary Count,10,1,,,1,,,cold morning
S33030505,Turkey Vulture,Cathartes aura,2362,X,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,12-14-2016,01:00 PM,eBird - Casual Observation,0,0,,,1,,,cold!
S33544804,Turkey Vulture,Cathartes aura,2362,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,01-08-2017,01:00 PM,eBird - Stationary Count,60,1,,,1,,,frigid but sunny
S33891566,Turkey Vulture,Cathartes aura,2362,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,01-22-2017,01:00 PM,eBird - Stationary Count,30,1,,,1
S33891654,Turkey Vulture,Cathartes aura,2362,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,01-23-2017,02:00 PM,eBird - Stationary Count,30,1,,,1,,,clear chilly day. crows yelling at hawks.
S34074926,Turkey Vulture,Cathartes aura,2362,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,01-31-2017,02:00 PM,eBird - Stationary Count,60,1,,,1,,,"sunny, warm"
S34292148,Turkey Vulture,Cathartes aura,2362,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,02-09-2017,02:00 PM,eBird - Stationary Count,60,1,,,1
S34295489,Turkey Vulture,Cathartes aura,2362,1,US-TX,Harrison,Bullard Creek,32.5366111,-94.1498923,02-11-2017,10:00 AM,eBird - Traveling Count,30,1,.805,,1,,,"feels like spring, flowers and butterflies already. walked up hill to north, cluster of activity there today."
